,ARI,FRE,CLI,Gunning Index,Body Length,Presence of URL,Code to Text Ratio,Title Body Similarity,Label
0,18.67185841,40.31133923,-22.06863363,11.1579941,2073,1,0,0.04,Very Good
1,22.07444444,23.43987654,-23.40653333,13.29382716,516,0,0,0.061538462,Bad
2,29.57840426,28.32148936,-29.26974894,21.22553191,549,0,0,0.101449275,Bad
3,13.231,65.82333333,-19.84849,8.333333333,692,0,0.208333333,0.052631579,Good
4,18.46068966,33.14252874,-24.00889655,14.05977011,469,1,0,0.028985507,Bad
5,23.88933622,37.28380471,-28.04149553,19.10610871,1520,0,0.134680135,0.040540541,Bad
6,19.98821429,35.24081019,-22.40006667,11.66164021,1188,0,0,0.037878788,Bad
7,15.34862802,30.16468599,-19.08472309,7.458937198,742,1,0,0.051948052,Bad
8,17.44061905,36.29619048,-18.76319333,6.952380952,982,1,0,0.047619048,Very Good
9,17.3518239,24.10333333,-20.63881258,9.821383648,337,0,0,0.094339623,Bad
10,20.56634234,42.60943694,-24.57100613,14.54954955,1044,0,0,0.04,Bad
11,14.73956044,36.46749451,-20.79110769,9.71956044,523,1,0,0.014492754,Very Good
12,18.74974576,38.43354237,-22.40290169,11.77898305,711,0,0,0.072289157,Bad
13,14.96038462,37.08615385,-19.12106154,8.738461538,165,1,0,0.038461538,Very Good
14,19.81125,34.075,-22.53323333,12.15555556,447,0,0,0.137254902,Very Good
15,17.18239927,52.59248168,-19.81150256,8.286446886,1199,1,0,0.037735849,Bad
16,22.2198374,23.96971545,-23.31485691,13.42113821,522,1,0,0.067567568,Good
17,21.03738095,30.50144444,-22.82613333,12.39746032,799,0,0,0.079545455,Good
18,11.72568182,63.87681818,-20.18988182,8.627272727,940,1,0,0.047619048,Very Good
19,14.17928205,53.52904558,-21.57747009,10.45584046,1446,0,0.42962963,0.040540541,Bad
20,15.73269939,59.29201227,-25.16678282,15.28539877,722,0,0.208588957,0.098039216,Bad
21,18.83026316,15.33265351,-19.58886316,8.401754386,401,0,0,0.098039216,Bad
22,23.60567901,17.15839506,-23.3578963,12.96460905,1627,1,0,0.048,Good
23,19.62184257,29.98703088,-21.11928752,9.850002531,5834,1,0,0.014018692,Bad
24,23.49871429,28.35886905,-23.09344,12.88095238,709,1,0,0.091954023,Very Good
25,18.23680441,30.08153581,-21.31351185,10.39724518,760,1,0,0.068181818,Very Good
26,13.87666667,36.83277778,-18.6807,7.911111111,224,1,0,0.081081081,Very Good
27,19.9894,32.212,-22.810744,12.8,307,0,0,0.097560976,Bad
28,18.7453076,43.29911988,-23.22946816,12.63976608,2721,0,0.195789474,0.019455253,Bad
29,24.11291304,35.33722826,-23.85442783,13.84782609,761,0,0,0.104166667,Bad
30,22.57929479,39.02477401,-30.52738184,22.25682002,5629,0,0.064971751,0.013333333,Bad
31,18.03194271,44.90672478,-21.25356762,10.14628477,1372,1,0,0.023809524,Very Good
